Index	Reading No	Time	Type	Duration	Units	Sigma Value	Sequence	Flags	SAMPLE	LOCATION	INSPECTOR	MISC	NOTE	Res	EScale	Shape Time	Mo	Mo Error	Zr	Zr Error	Sr	Sr Error	U	U Error	Rb	Rb Error	Th	Th Error	Pb	Pb Error	Au	Au Error	Se	Se Error	As	As Error	Hg	Hg Error	Zn	Zn Error	W	W Error	Cu	Cu Error	Ni	Ni Error	Co	Co Error	Fe	Fe Error	Mn	Mn Error	Cr	Cr Error	V	V Error	Ti	Ti Error	Sc	Sc Error	Ca	Ca Error	K	K Error	S	S Error	Nd	Nd Error	Pr	Pr Error	Ce	Ce Error	La	La Error	Ba	Ba Error	Sb	Sb Error	Sn	Sn Error	Cd	Cd Error	Pd	Pd Error	Ag	Ag Error	Bal	Bal Error	Nb	Nb Error	Y	Y Error	Bi	Bi Error	Re	Re Error	Ta	Ta Error	Hf	Hf Error	Al	Al Error	P	P Error	Si	Si Error	Cl	Cl Error	Mg	Mg Error	MgO	MgO Error	Al2O3	Al2O3 Error	SiO2	SiO2 Error	P2O5	P2O5 Error	K2O	K2O Error	CaO	CaO Error	TiO2	TiO2 Error	MnO	MnO Error	Fe2O3	Fe2O3 Error	Cs	Cs Error	Te	Te Error
434	434	22/11/2019 14:52	TestAll Geo	121.31	ppm	2	Final	-3mm 	apa2001-90.97-2	rio salitre	kotaro	rocha					<LOD	300000	116.25	8.17	30.16	4.02	<LOD	1.71	38.43	4.09	<LOD	300000	32.09	12.25	<LOD	300000	<LOD	10.26	<LOD	300000	<LOD	300000	<LOD	300000	1607.55	147.79	605.25	65.81	1246.39	122.09	<LOD	300000	7259.82	1076.99	<LOD	300000	14.74	1.66	3.81	2.04	49.61	6.26	2.43	0.95	<LOD	9.31	10484.08	1166.45	5130.45	346.09	360.29	203.92	273.89	143.16	<LOD	171.66	187.35	112.49	1951.33	109.37	185.68	38.22	121.04	32.51	69.82	23.56	22.52	12.04	<LOD	21.72	945123	778.75	8.66	4.29	1.8	1	<LOD	35.99	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	2411.67	2120	402.85	16288.9	1188.81	7440.13	327.1	<LOD	15082.18	<LOD	0	<LOD	0	34858.25	0	4854.79	0	12685.74	0	<LOD	0	82.86	0	380.61	0	10381.54	0	548.28	48.46	292.1	44.53
435	435	22/11/2019 14:57	TestAll Geo	121.73	ppm	2	Final	-3mm 	branco	rio salitre	kotaro	rocha					<LOD	2.48	<LOD	1.86	<LOD	1.16	<LOD	3.1	<LOD	1.22	<LOD	2.11	<LOD	3.11	<LOD	4.66	<LOD	2.34	<LOD	2.69	<LOD	6.69	<LOD	5.93	<LOD	18.04	<LOD	11.16	43.75	16.81	<LOD	13.39	47.12	18.44	39.87	26.29	<LOD	5.93	9.71	3.95	<LOD	13.24	<LOD	2.87	133.88	51.45	737.17	179.44	<LOD	69.67	192.33	54.87	109.77	38.51	52.21	31.12	72.95	30.92	176.64	16.2	40.54	7.02	22.34	5.91	9.81	4.34	4.28	2.22	<LOD	3.65	555822.94	1613.3	<LOD	1.5	<LOD	1.5	<LOD	10.76	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	812.21	1274.86	242.26	438430.91	2965.51	1280.55	36.28	<LOD	2555.37	<LOD	0	1333.4	0	938242.19	0	2919.44	0	891.97	0	187.44	0	<LOD	0	51.43	0	67.38	0	111.8	8.75	46.16	7.97
436	436	22/11/2019 15:04	TestAll Geo	120.77	ppm	2	Final	-3mm 	apa2001-91.72-1	rio salitre	kotaro	rocha					<LOD	300000	116.28	8.29	21.71	3.62	<LOD	300000	24.95	3.43	<LOD	300000	22.26	11.64	<LOD	300000	<LOD	12.21	<LOD	300000	<LOD	300000	<LOD	300000	2071.69	160.26	719.35	71.1	1418.05	127.53	317.89	199.74	13911.95	1030.71	<LOD	300000	14.66	1.65	4.88	2	58.8	6.12	2.65	1.21	30.82	7.53	11538.53	1419.16	7791.64	478.92	594.06	249.35	364.12	172.37	246.49	139.55	304.99	135.81	1344.19	101.79	171.57	38.57	81.73	31.29	40.96	22.61	18.24	11.95	<LOD	20.1	920780.88	1088.98	9.47	4.32	1.56	1	<LOD	37.39	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3212.45	2760	538.46	24960	1645.16	9465.97	408.56	<LOD	21855.09	<LOD	0	<LOD	0	53414.41	0	6320.4	0	13961.63	0	43.14	0	98.2	0	428.57	0	19894.09	0	411.94	47.71	180.88	42.38
437	437	22/11/2019 15:06	TestAll Geo	120.84	ppm	2	Final	-3mm 	apa2001-91.72-2	rio salitre	kotaro	rocha					<LOD	300000	109.24	7.71	18.43	3.28	<LOD	300000	26.2	3.4	<LOD	300000	38.59	12.46	<LOD	300000	<LOD	10.22	<LOD	300000	<LOD	300000	<LOD	300000	1725.59	145.9	683.99	66.79	1513.41	124.3	349.63	192.79	13377.58	997.1	<LOD	300000	14.29	1.64	4.49	1.93	46.63	5.8	2.9	1.41	67.75	8.73	11253.5	1373.04	8690.22	477.37	769.55	268.43	355.66	182.02	293.03	149.18	283.84	143.33	1303.91	103.85	184.41	40.3	114.56	33.8	62.57	24.52	<LOD	17.48	<LOD	22.1	923735.69	1008.15	6.96	4.06	1.54	1	<LOD	35.69	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3072.01	2613.13	506.39	21642.23	1485.95	9390.86	389.22	<LOD	19408.53	<LOD	0	<LOD	0	46314.38	0	5984.06	0	13616.74	0	94.85	0	77.87	0	449.96	0	19129.94	0	421.67	49.28	225.75	45
438	438	22/11/2019 15:11	TestAll Geo	121.86	ppm	2	Final	-3mm 	apa2001-92.57-1	rio salitre	kotaro	rocha					<LOD	300000	92.1	7.18	22.67	3.47	<LOD	300000	24.57	3.26	<LOD	300000	18	10.61	<LOD	300000	<LOD	12.46	<LOD	300000	<LOD	300000	50.03	31.74	1707.76	142.56	792.34	69.46	1304.61	117.9	<LOD	283.19	14430.22	978.03	<LOD	300000	13.42	1.59	4.24	1.84	33.43	5.34	2.8	0.95	<LOD	8.35	10586.16	1266.75	8362.13	444.68	638.35	262.36	309.2	179.45	<LOD	341.59	<LOD	327.24	1299.51	100.11	164.65	38.11	80.97	31.05	59.49	23.42	<LOD	17.05	<LOD	20.5	927345.44	953.32	<LOD	5.89	<LOD	1.5	<LOD	35.28	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	2959.91	2701.88	476.37	20604.45	1381.22	9050.66	362.72	<LOD	18291.41	<LOD	0	<LOD	0	44093.53	0	6187.31	0	12809.25	0	<LOD	0	55.83	0	430.45	0	20635.22	0	403.99	47.09	214.5	43.01
439	439	22/11/2019 15:12	TestAll Geo	65.65	ppm	2	Final	-3mm 	apa2001-92.57-2	rio salitre	kotaro	rocha					<LOD	300000	90.06	6.96	19.78	3.25	<LOD	1.5	22.44	3.12	<LOD	12.82	25.09	11.04	<LOD	300000	<LOD	13.41	<LOD	300000	<LOD	300000	<LOD	300000	1665.33	138.04	734.96	66.22	1167.78	112.89	<LOD	300000	7976.26	958.45	<LOD	300000	13.66	1.55	4.51	1.72	28.67	4.89	2.24	0.84	<LOD	8.13	10299.89	1152.76	89.33	25.2	<LOD	1627.65	<LOD	1635.11	<LOD	927.38	<LOD	1070.71	1459.91	391.64	<LOD	216.81	<LOD	189.16	182.35	111.83	<LOD	59.61	<LOD	81.59	976304.69	325.48	<LOD	5.79	<LOD	1.5	<LOD	34.72	<LOD	1.5	<LOD	1.5	<LOD	1.5											<LOD	0	<LOD	0	<LOD	0	<LOD	0	12462.86	0	<LOD	0	47.89	0	428.98	0	11406.05	0	579.36	188.16	282.27	171.27
440	440	22/11/2019 15:16	TestAll Geo	121.5	ppm	2	Final	-3mm 	apa2001-93.06-1	rio salitre	kotaro	rocha					<LOD	300000	149.91	8.15	27.57	3.5	<LOD	1.51	36.73	3.6	<LOD	300000	30.59	11.14	<LOD	300000	<LOD	14.58	<LOD	300000	<LOD	300000	<LOD	39.99	1349.05	120.87	486.2	53.95	856.07	100.01	<LOD	267.49	13136.76	940.32	<LOD	300000	14.17	1.79	6.61	2.58	117.16	8.26	2.47	1.16	821.28	317.48	11700.63	1067.06	4164.46	271.43	565.19	180.57	377.64	125.49	302.65	103.05	351.25	99.2	1509.29	84.86	153.31	30.56	108.35	26.31	50.97	18.62	19.59	9.72	<LOD	17.29	930563.81	861.13	7.58	3.83	2.18	1	<LOD	33.19	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	2051.34	1632.65	329.72	26700.71	1270.02	5719.11	235.12	<LOD	11275.05	<LOD	0	<LOD	0	57139.52	0	3738.77	0	14157.76	0	1149.79	0	195.66	0	414.13	0	18785.57	0	388.33	37.81	182.41	34.11
441	441	22/11/2019 15:19	TestAll Geo	122.25	ppm	2	Final	-3mm 	apa2001-93.06-2	rio salitre	kotaro	rocha					<LOD	300000	133.83	8.03	22.11	3.36	<LOD	1.55	35.1	3.67	<LOD	300000	19.64	10.53	<LOD	300000	<LOD	13.58	<LOD	300000	<LOD	300000	<LOD	300000	1669.87	137.07	570.31	60.17	1274.64	114.5	<LOD	269.72	9358.25	979.07	<LOD	300000	13.59	1.61	4.39	1.99	61.62	6.16	1.78	0.87	<LOD	9.39	12497.36	1308.79	5623.68	401.32	474.31	252.99	277.17	175.41	247.28	143.08	270.98	139.03	1835.18	107.51	162.15	37.31	138.26	33.05	64.16	23.22	<LOD	16.77	<LOD	21.27	932596.88	876.35	7.91	3.97	2.03	1	<LOD	34.97	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	2907.55	2279.46	485.51	21790.21	1481.01	8673.88	371.45	<LOD	18910.91	<LOD	0	<LOD	0	46631.05	0	5219.96	0	15121.81	0	<LOD	0	102.91	0	444.3	0	13382.3	0	530.38	48.02	245.59	43.14
442	442	22/11/2019 15:23	TestAll Geo	121.87	ppm	2	Final	-3mm 	apa2001-94.50-1	rio salitre	kotaro	rocha					<LOD	300000	76.61	7.01	12.36	3.04	<LOD	300000	10.77	2.69	<LOD	300000	21.88	11.56	<LOD	300000	<LOD	16.54	<LOD	300000	<LOD	300000	<LOD	300000	1896.33	158.06	722.44	70.79	1405.7	126.54	<LOD	297.67	17827.57	998.57	<LOD	300000	15.83	1.59	3.72	1.85	35.19	5.49	1.56	0.91	1273.59	381.24	684.68	26.86	6993.7	454.02	505.6	265.64	<LOD	273.57	<LOD	307.05	<LOD	218.04	1029.72	105.22	178.09	43.23	158.05	38.11	99.03	28.36	<LOD	19.05	<LOD	24.09	926461.88	1007.4	<LOD	7.96	<LOD	1.5	<LOD	35.36	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3330.23	2204.24	530.75	22029.24	1560.85	9356.16	395.43	<LOD	20441.78	<LOD	0	<LOD	0	47142.57	0	5047.7	0	828.47	0	1783.03	0	58.76	0	884.89	0	25493.43	0	502.78	54.22	312.94	50.99
443	443	22/11/2019 15:26	TestAll Geo	122.29	ppm	2	Final	-3mm 	apa2001-94.50-2	rio salitre	kotaro	rocha					<LOD	300000	69.15	7.06	14.72	3.3	<LOD	300000	12.08	2.87	<LOD	300000	19.19	11.98	<LOD	300000	<LOD	21.46	<LOD	300000	<LOD	300000	<LOD	300000	1878.8	161.33	640.58	70.21	1394.56	131.12	331.34	213.36	14984.86	1101.89	<LOD	300000	16.88	1.65	4.53	2	21.11	5.7	1.92	1.09	1615.04	352.59	719.71	27.77	6517.1	385.63	474.24	221.37	358.21	155.02	206.64	124.91	245.65	121.71	1341.33	107.31	206.49	42.24	160.69	36.8	62.08	25.23	24.27	13.24	<LOD	23.33	935075.5	931.34	<LOD	9.25	<LOD	1.5	<LOD	37.37	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	2588.89	1561.99	421.4	18361.23	1272.25	7928.78	330.53	<LOD	13447.44	<LOD	0	<LOD	0	39293.03	0	3576.97	0	870.85	0	2261.05	0	35.25	0	834.46	0	21428.36	0	481.32	51.68	277.95	47.9
444	444	22/11/2019 15:31	TestAll Geo	120.58	ppm	2	Final	-3mm 	branco	rio salitre	kotaro	rocha					<LOD	2.66	<LOD	1.96	<LOD	1.26	<LOD	3.15	<LOD	1.29	<LOD	2.22	<LOD	3.35	<LOD	4.67	<LOD	2.47	<LOD	2.7	<LOD	7.14	<LOD	6.06	67.9	25.75	<LOD	11.93	40.41	17.9	<LOD	14.27	42.42	19.61	60.65	29.12	<LOD	5.9	10.97	4	<LOD	13.47	<LOD	2.69	106	52.9	683.13	184.82	721.48	41.31	156.83	56.95	83.27	40	<LOD	48.53	80.8	32.33	187.23	16.32	38.26	7.02	23.19	5.94	9.44	4.35	4.07	2.22	<LOD	3.63	546674.31	1731.75	<LOD	1.5	<LOD	1.5	<LOD	11.31	<LOD	1.5	<LOD	1.5	<LOD	1.5	1119.76	574.2	1223.06	252.87	447301.09	3133.19	1282.54	38.03	<LOD	2055.29	<LOD	0	2116.35	0	957224.38	0	2800.8	0	826.59	0	148.39	0	<LOD	0	78.24	0	60.66	0	112.35	8.79	50.92	8.05
445	445	22/11/2019 15:34	TestAll Geo	121.79	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	rocha					14.44	2.84	399.05	6.12	103.03	3.26	28.85	5.97	80.81	2.52	42.43	4.45	48.5	5.73	<LOD	7.46	<LOD	2.95	103.36	7.01	<LOD	11.83	41.12	8.41	374.73	40.67	299.56	20.9	102.91	24.24	<LOD	94.81	40742.86	534.22	454.12	52.49	25.68	10.23	107.1	23.36	4262.88	84.38	<LOD	31.3	6473.76	140.56	30484.72	1118.97	2219.17	89.88	576.45	70.92	304.42	48.85	185.22	39.51	234.94	38.64	504.64	21.05	43.68	8.18	40.74	7.12	16	5.14	3.9	2.56	<LOD	4.25	515900.28	2236.13	12.19	1.99	2.72	1	<LOD	24.51	<LOD	1.5	<LOD	1.5	<LOD	1.5	82118.59	2060.95	1595.38	251.67	312569.38	3573.65	1114.59	51.55	<LOD	4523.58	<LOD	0	155204.14	0	668898.5	0	3653.42	0	36886.52	0	9063.27	0	7119	0	585.81	0	58262.29	0	148.54	10.35	49.23	9.27
446	446	22/11/2019 15:39	TestAll Geo	120.63	ppm	2	Final	-3mm 	apa2001-95.64-1	rio salitre	kotaro	rocha					<LOD	300000	57.75	6.72	21.41	3.72	<LOD	300000	29.2	3.79	<LOD	300000	<LOD	16.65	<LOD	300000	<LOD	12.19	<LOD	16.14	<LOD	300000	<LOD	300000	2026.33	166.97	757.51	75.05	1576.14	135.67	<LOD	300000	15986.53	1072.15	<LOD	300000	15.74	1.64	4.35	1.89	47.23	5.69	2.75	0.97	<LOD	9.04	13097.15	1425.59	6552.93	468.48	610.27	264.47	347.71	182.23	<LOD	351.69	268.94	143.61	1485.92	109.66	161.69	40.46	127.89	35.11	67.96	25.42	<LOD	18.35	<LOD	21.89	919435.13	1137.97	<LOD	7.34	<LOD	1.5	<LOD	38	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3411.94	2845.45	568.51	24183.29	1689.14	10297.27	440.22	<LOD	25833.32	<LOD	0	<LOD	0	51752.23	0	6516.09	0	15847.55	0	<LOD	0	78.87	0	531.47	0	22860.73	0	472.45	51.28	228.45	46.17
447	447	22/11/2019 15:42	TestAll Geo	120.02	ppm	2	Final	-3mm 	apa2001-95.64-2	rio salitre	kotaro	rocha					<LOD	300000	57.22	6.02	17.28	3.14	<LOD	1.53	26.46	3.35	<LOD	300000	16.64	10.49	<LOD	300000	<LOD	14.87	<LOD	300000	<LOD	300000	<LOD	300000	1688.31	142.46	663.75	64.75	1574.02	123.03	<LOD	280.59	13862.92	977.89	<LOD	300000	13.83	1.62	4.27	1.83	28.09	5.22	2.73	1	<LOD	9.57	12398.36	1349.31	6177.02	442.08	464.01	260.67	425.58	184.15	<LOD	321.85	272.91	143.94	1667.11	114.64	192.47	42.27	106.73	34.91	74.12	26.14	30.48	13.92	<LOD	23.07	927572.38	941.55	<LOD	5.18	<LOD	1.5	<LOD	34.46	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3323.75	2704.46	540.55	20843.2	1550.61	9245.03	398.59	<LOD	20961.07	<LOD	0	<LOD	0	44604.44	0	6193.22	0	15002.02	0	<LOD	0	46.91	0	644.32	0	19823.97	0	587.46	53.91	293.38	48.94
448	448	22/11/2019 15:47	TestAll Geo	121.64	ppm	2	Final	-3mm 	apa2001-96.04-1	rio salitre	kotaro	rocha					<LOD	300000	74.98	7.14	24.51	3.81	1.78	1.17	26.93	3.68	<LOD	300000	20.26	11.81	<LOD	300000	<LOD	17.94	18.45	11.4	<LOD	300000	<LOD	300000	2168.33	169.2	826.08	75.49	1630.3	133.35	359.14	221.26	23955.26	1104.84	<LOD	300000	15.3	1.67	4.15	1.96	57.87	6.06	2.06	1.03	1509.99	469.01	13404.68	1539.85	6861.87	478.67	769.63	291.85	471.53	200.97	430.71	166.72	301.21	155.93	1890.23	132.19	239.59	49.09	139.97	40.63	69.84	29.03	<LOD	22.13	<LOD	25.44	905167.69	1268.23	<LOD	6.31	<LOD	1.5	<LOD	37.04	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3811.61	2705.23	575.57	28038.99	1792.38	10445.65	440.88	<LOD	24638.27	<LOD	0	<LOD	0	60003.44	0	6194.98	0	16219.66	0	2113.98	0	96.65	0	729.2	0	34256.02	0	613.79	61.11	310.97	55.32
449	449	22/11/2019 15:50	TestAll Geo	120.74	ppm	2	Final	-3mm 	apa2001-96.04-2	rio salitre	kotaro	rocha					<LOD	300000	75.54	7.43	25.37	4.01	<LOD	300000	27.23	3.75	<LOD	300000	<LOD	17.18	<LOD	300000	<LOD	16.76	<LOD	16.57	<LOD	300000	<LOD	300000	2074.25	172.98	783.87	77.34	1778.52	142.58	339.95	226.08	22014.29	1131.86	<LOD	300000	14.57	1.63	5.77	1.98	67.76	6.03	2.41	1.02	<LOD	9.76	13296.23	1530.18	6581.12	474.54	1050.65	292.74	591.73	198.53	338.99	158.96	383.07	152.76	1802.78	130.53	235.27	48.78	121.04	39.94	58.4	28.32	31.54	15.67	<LOD	27.76	914596.94	1204.41	<LOD	8.61	<LOD	1.5	<LOD	38.18	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3546.17	3011.55	578.59	20759.06	1621.21	10201.25	440.36	<LOD	24635.92	<LOD	0	<LOD	0	44424.39	0	6896.46	0	16088.44	0	<LOD	0	113.16	0	660.09	0	31480.43	0	566.58	60.15	239.58	52.87
450	450	22/11/2019 15:56	TestAll Geo	122.76	ppm	2	Final	-3mm 	apa2001-97.85-1	rio salitre	kotaro	rocha					<LOD	300000	62.6	7.21	20.53	3.83	<LOD	300000	29.62	3.96	<LOD	300000	<LOD	17.77	<LOD	300000	<LOD	12.73	<LOD	300000	<LOD	300000	<LOD	300000	1941.52	170.9	720.66	77.01	1536.75	141.13	384.17	221.66	14353.42	1142.67	<LOD	300000	13.56	1.52	4.93	1.74	32.94	4.95	2.72	0.91	<LOD	8.78	11501.89	1157.19	5275.55	364.21	604.26	232.27	460.41	162.5	<LOD	189.57	245.31	125.14	1681.24	117.83	202.75	43.72	123.5	36.53	73.42	26.78	<LOD	19.66	<LOD	23.64	931926.38	1018.48	<LOD	6.68	<LOD	1.5	<LOD	39.52	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	2814.51	2453.22	442.6	18156.01	1285.86	8503.19	352.21	<LOD	19015.58	<LOD	0	<LOD	0	38853.87	0	5617.88	0	13917.28	0	<LOD	0	55	0	590.8	0	20525.39	0	530.83	54.43	252.77	48.89
451	451	22/11/2019 16:00	TestAll Geo	121.59	ppm	2	Final	-3mm 	apa2001-97.85-2	rio salitre	kotaro	rocha					<LOD	300000	73.51	7.4	25.05	3.99	<LOD	1.78	35.21	4.17	<LOD	14.49	<LOD	17.69	<LOD	300000	<LOD	15.84	<LOD	300000	<LOD	300000	<LOD	300000	2162.93	175.63	700.46	74.58	1900.15	145.88	395.42	222.36	15975	1144.64	<LOD	300000	14.88	1.61	5.22	1.89	39.32	5.48	2.28	0.91	<LOD	9.13	14742.47	1503.13	6934.3	465.51	899.17	286.84	590.39	197.55	419.48	160.79	436.32	152.92	1915.15	125.49	201.06	44.79	100.11	36.76	61.18	26.83	26.5	14.34	<LOD	26.24	919406	1152.48	<LOD	5.91	1.8	1	<LOD	38.48	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3344.36	2841.11	547.28	19945.65	1535.81	10174.13	434.18	<LOD	21612.66	<LOD	0	<LOD	0	42683.69	0	6506.14	0	17838.39	0	<LOD	0	65.66	0	635.63	0	22844.24	0	539.22	56.19	233.27	49.65
452	452	22/11/2019 16:03	TestAll Geo	122.12	ppm	2	Final	-3mm 	apa2001-97.60-1	rio salitre	kotaro	rocha					<LOD	300000	47.61	5.3	33.71	3.6	<LOD	300000	17.92	2.65	<LOD	11.57	19.33	9.5	<LOD	300000	<LOD	11.21	<LOD	13.41	<LOD	300000	<LOD	39.3	1391.65	120.84	528.87	53.92	1229.53	104.58	<LOD	255.74	14382.83	891.4	<LOD	300000	13.51	1.62	4.13	1.91	39.85	5.67	3.23	1.72	145.8	10.81	10482.8	1114.07	4891.3	334.52	634.79	233.67	418.6	162.07	296.17	132.01	202.82	125.52	1206.49	88.19	170.41	34.31	99.1	28.51	52.97	20.66	15.86	10.42	<LOD	18.09	920055.63	939.69	<LOD	5	<LOD	1.5	<LOD	30.91	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	2505.29	1825.9	421.98	31895.7	1527.76	7776.99	303.9	<LOD	15233.85	<LOD	0	<LOD	0	68256.8	0	4181.32	0	12684.19	0	204.12	0	66.55	0	674.18	0	20567.44	0	425.17	42.4	239.52	39.24
453	453	22/11/2019 16:07	TestAll Geo	120	ppm	2	Final	-3mm 	apa2001-97.60-2	rio salitre	kotaro	rocha					<LOD	300000	69.36	6.48	28.64	3.74	<LOD	300000	28.55	3.37	<LOD	300000	18.81	10.68	<LOD	300000	<LOD	16.83	21.48	10.63	<LOD	300000	<LOD	300000	1772.33	144.45	682.45	65.19	1392.91	118.85	<LOD	289.71	15478.12	1005.95	<LOD	300000	13.82	1.59	3.83	1.89	38.86	5.66	2.8	1.15	1522.82	409.01	12725.91	1296.36	6133.2	415.6	816.41	270.31	482.68	185.33	<LOD	217.71	399.82	145.37	1499.78	104	151.84	37.8	80.8	31.3	67.47	23.92	18.24	11.92	<LOD	21.8	922238.31	1000.92	<LOD	5.74	<LOD	1.5	<LOD	34.01	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3093.04	2534.55	502.72	23296.98	1522.52	9090.26	375.22	<LOD	20349.81	<LOD	0	<LOD	0	49855.54	0	5804.13	0	15398.36	0	2131.95	0	64.89	0	626.76	0	22133.71	0	463.74	48.09	198.89	42.67
454	454	22/11/2019 16:11	TestAll Geo	121.94	ppm	2	Final	-3mm 	apa2001-99.27-1	rio salitre	kotaro	rocha					<LOD	7.84	93.98	8.2	31.26	4.4	<LOD	300000	34.13	4.17	<LOD	300000	<LOD	18.86	<LOD	300000	<LOD	26.99	<LOD	300000	<LOD	300000	<LOD	300000	2168.16	176.68	732.81	76.82	1803.8	145.71	479.58	228.76	21445.25	1137.03	<LOD	300000	16.48	1.62	4.99	1.98	67.33	6.15	2.81	1.07	1332.04	485.51	14237.81	1587.61	7244.33	510.59	1068.27	304.41	567.87	205.77	336.24	164.89	245.66	156.06	2268.54	147.98	251.57	52.93	163.17	44.73	91.21	32.33	29.95	16.59	<LOD	29.44	913548.88	1238.43	7.71	4.55	<LOD	1.5	<LOD	39.82	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3760.72	2914.54	603.85	19868.68	1660.87	10824.5	473.75	<LOD	24871.15	<LOD	0	<LOD	0	42518.98	0	6674.29	0	17227.75	0	1864.85	0	112.44	0	831.21	0	30666.7	0	672.44	66.26	317.3	59.19
455	455	22/11/2019 16:14	TestAll Geo	122.53	ppm	2	Final	-3mm 	apa2001-99.27-2	rio salitre	kotaro	rocha					<LOD	300000	95.23	8.26	33.57	4.51	<LOD	1.85	36.56	4.32	<LOD	15	22.95	12.75	<LOD	300000	<LOD	15.2	<LOD	17.83	<LOD	300000	<LOD	300000	<LOD	300000	792.53	78.76	1773.46	144.25	<LOD	347.57	20533.66	1211.12	<LOD	300000	15.91	1.63	5.36	1.91	54.92	5.72	2.62	1.06	1541.57	485.59	14422.26	1597.77	7153.42	491.27	709.17	300.88	461.82	208.26	359.67	170.07	<LOD	239	2137.17	140.11	272.49	51.81	144.95	42.27	100.81	31.65	34.35	16.37	<LOD	28.62	916007.94	1202.78	7.37	4.59	<LOD	1.5	<LOD	40.57	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3601.67	3162.1	576.36	18691.76	1562.46	10541.17	467.68	<LOD	22758.85	<LOD	0	<LOD	0	40000.38	0	7241.2	0	17450.94	0	2158.19	0	91.71	0	736.29	0	29363.13	0	688.75	64	353.85	58.14
456	456	22/11/2019 16:18	TestAll Geo	122.73	ppm	2	Final	-3mm 	apa2001-99.97-1	rio salitre	kotaro	rocha					<LOD	300000	64.38	6.6	23.67	3.67	2.44	1.2	29.43	3.75	<LOD	300000	<LOD	300000	<LOD	300000	<LOD	17.83	<LOD	14.37	<LOD	300000	<LOD	300000	2005.21	160.77	728.33	70.69	1745.76	133.22	<LOD	308.94	17022.27	1061.72	<LOD	300000	13.51	1.51	3.87	1.78	28.82	5.18	3.29	1.1	1319.01	416.16	12917.87	1343.2	6429.38	458.86	856.03	287.34	466.01	195.84	274.07	157.12	313.76	152.21	1673.72	121.2	220.39	45.66	131.63	37.91	68.09	27.29	<LOD	20.49	<LOD	23.51	920579.44	1066.8	<LOD	6.51	<LOD	1.5	<LOD	36.59	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3306.29	2671.31	556.89	21491.54	1600.68	9938	421.46	<LOD	23891.36	<LOD	0	<LOD	0	45991.89	0	6117.29	0	15630.62	0	1846.61	0	48.12	0	656.58	0	24341.84	0	503.52	55.68	249.48	50.25
457	457	22/11/2019 16:21	TestAll Geo	122.77	ppm	2	Final	-3mm 	apa2001-99.97-2	rio salitre	kotaro	rocha					<LOD	300000	66.48	6.72	20.37	3.48	1.81	1.15	34.59	3.9	<LOD	13.86	<LOD	15.71	<LOD	300000	<LOD	12.72	<LOD	14.92	<LOD	300000	<LOD	300000	2029.18	158.36	686.37	68.72	1593.88	128.98	<LOD	310.74	16920.92	1080.22	<LOD	300000	14.69	1.67	5.64	1.92	38.44	5.45	2.49	1.05	1362.12	453.78	14042.87	1486.58	6438.3	430.33	863.99	275.27	361.77	185.07	393.95	154.61	313.89	145.67	1856.65	124.81	225.36	45.97	153.07	39.15	68.69	27.43	31.61	14.85	<LOD	25.1	920611.81	1063.47	<LOD	8.32	<LOD	1.5	<LOD	37.05	<LOD	1.5	<LOD	1.5	<LOD	1.5	<LOD	3283.34	2877.8	516.22	20538.93	1474.86	9731.5	402.65	<LOD	17828.39	<LOD	0	<LOD	0	43953.3	0	6590.16	0	16991.88	0	1906.97	0	64.2	0	658.81	0	24196.92	0	596.18	57.43	274.14	51.23
